;Tecnologia Geração;media_ano;percentual;ano
0;1G;5740,45;0,003543340898983565;2009
1;2G;157632264,71;97,29983721595812;2009
2;3G;4368704,43;2,6966194431429042;2009
3;4G;0,0;0,0;2009
4;M2M;0,0;0,0;2009
0;1G;763,67;0,00040839235848228356;2010
1;2G;172527480,34;92,26354917576757;2010
2;3G;14465950,209999999;7,736042431873957;2010
3;4G;0,0;0,0;2010
4;M2M;0,0;0,0;2010
0;1G;0,0;0,0;2011
1;2G;192498975,73;87,17483777560801;2011
2;3G;28320449,51;12,825162224391995;2011
3;4G;0,0;0,0;2011
4;M2M;0,0;0,0;2011
0;1G;0,0;0,0;2012
1;2G;199110704,64;78,03065652034921;2012
2;3G;52341014,53;20,512225769586017;2012
3;4G;0,0;0,0;2012
4;M2M;3718124,9899999998;1,4571177100647565;2012
0;1G;0,0;0,0;2013
1;2G;178682080,37;66,99696011791963;2013
2;3G;79944006,95;29,975056447770637;2013
3;4G;376221,64;0,1410645441243153;2013
4;M2M;7699463,86;2,8869188901854264;2013
0;1G;0,0;0,0;2014
1;2G;136032842,5;49,227525669407925;2014
2;3G;127460021,67;46,125195748837015;2014
3;4G;3687449,87;1,3344132916290412;2014
4;M2M;9154603,57;3,312865290126011;2014
0;1G;0,0;0,0;2015
1;2G;88767020,14;31,925215295338123;2015
2;3G;163460678,1;58,78892107039317;2015
3;4G;14906900,87;5,361293179724092;2015
4;M2M;10912140,18;3,924570454544603;2015
0;1G;0,0;0,0;2016
1;2G;56901156,410000004;22,506574884554144;2016
2;3G;141467713,73;55,95586968161081;2016
3;4G;42534081,94;16,82384964956764;2016
4;M2M;11917198,04;4,713705784267415;2016
0;1G;0,0;0,0;2017
1;2G;39426993,59;16,329370516935192;2017
2;3G;105014923,05;43,49374456808255;2017
3;4G;83033022,02;34,3895605078373;2017
4;M2M;13973398,55;5,787324407144962;2017
0;1G;0,0;0,0;2018
1;2G;27628563,62;11,835182340095972;2018
2;3G;70097190,56;30,02736744538926;2018
3;4G;118445506,85;50,738221147337235;2018
4;M2M;17273081,66;7,399229067177529;2018
0;2G;32002483,79;14,07;2019
1;3G;51358083,18;22,59;2019
2;4G;144019821,84;63,34;2019
0;2G;28177033,33;12,37;2020
1;3G;37215373,39;16,34;2020
2;4G;162398133,08;71,29;2020
0;2G;26868418,52;10,93;2021
1;3G;30459840,34;12,39;2021
2;4G;188315450,99;76,58;2021
3;5G;255202,57;0,1;2021
0;2G;26408825,98;10,22;2022
1;3G;27070878,36;10,47;2022
2;4G;201730420,82;78,04;2022
3;5G;2206060,21;0,85;2022
4;5G Non Stand Alone;1077525,57;0,42;2022
0;2G;22549441,16;8,97;2023
1;3G;22322611,36;8,88;2023
2;4G;196634586,5;78,2;2023
3;5G;9949847,39;3,96;2023
