;DDD;HHI;analise_mercado_hhi
0;11;2764,8747;altamente concentrado
1;12;2689,6572;altamente concentrado
2;13;2806,5960999999998;altamente concentrado
3;14;3506,384;altamente concentrado
4;15;3649,4410999999996;altamente concentrado
5;16;2467,6452;moderado
6;17;2694,0429999999997;altamente concentrado
7;18;3778,2591000000007;altamente concentrado
8;19;2989,7891000000004;altamente concentrado
9;21;2738,0644;altamente concentrado
10;22;3805,1935999999996;altamente concentrado
11;24;2996,7490000000003;altamente concentrado
12;27;5026,463100000001;altamente concentrado
13;28;6694,7069;altamente concentrado
14;31;2809,102;altamente concentrado
15;32;3193,7096;altamente concentrado
16;33;3697,042699999999;altamente concentrado
17;34;2352,2634;moderado
18;35;3884,2181000000005;altamente concentrado
19;37;4174,7399000000005;altamente concentrado
20;38;4577,6447;altamente concentrado
21;41;3211,3487999999998;altamente concentrado
22;42;3897,6398000000004;altamente concentrado
23;43;3362,1155;altamente concentrado
24;44;4374,9855;altamente concentrado
25;45;4467,076399999999;altamente concentrado
26;46;3967,1357999999996;altamente concentrado
27;47;3238,4267;altamente concentrado
28;48;3242,3322;altamente concentrado
29;49;3258,746;altamente concentrado
30;51;3378,8998;altamente concentrado
31;53;2829,406;altamente concentrado
32;54;3895,1946;altamente concentrado
33;55;4033,527;altamente concentrado
34;61;2910,2802;altamente concentrado
35;62;2884,2949999999996;altamente concentrado
36;63;3925,2799000000005;altamente concentrado
37;64;3181,7371000000003;altamente concentrado
38;65;3552,8760000000007;altamente concentrado
39;66;3895,5283999999992;altamente concentrado
40;67;3589,7720999999997;altamente concentrado
41;68;3806,2189;altamente concentrado
42;69;3786,353900000001;altamente concentrado
43;71;2589,9344;altamente concentrado
44;73;2746,2153000000003;altamente concentrado
45;74;3115,3202;altamente concentrado
46;75;2621,0606000000002;altamente concentrado
47;77;3118,1144;altamente concentrado
48;79;4506,7311;altamente concentrado
49;81;2846,7814;altamente concentrado
50;82;2602,6257;altamente concentrado
51;83;2784,5033999999996;altamente concentrado
52;84;2858,5006;altamente concentrado
53;85;2978,5797000000002;altamente concentrado
54;86;2768,765;altamente concentrado
55;87;2665,5505000000003;altamente concentrado
56;88;3023,7607000000003;altamente concentrado
57;89;2859,0099;altamente concentrado
58;91;2531,2136;altamente concentrado
59;92;3434,5559;altamente concentrado
60;93;5070,0455999999995;altamente concentrado
61;94;3961,9694;altamente concentrado
62;95;3869,6479;altamente concentrado
63;96;2868,4206000000004;altamente concentrado
64;97;3517,8545;altamente concentrado
65;98;2861,4822000000004;altamente concentrado
66;99;2704,8238;altamente concentrado
